"","stfdem","cntry","SatEcon","incpart","Female","AgeResp","Unemp","Religiosity","SocTrust","LRSP","IncDec","YearsEdu","Crtsame","fairelcc","cttresa","fairelc","gvexpdc","Poverty","Inequality"
"20060",7,"NO",8,0,2,53,0,4,7,5,5,13,10,10,10,10,7,5.65685424949238,5.65685424949238
"20061",8,"NO",8,1,2,41,0,2,8,3,7,17,10,10,10,10,10,2.12132034355964,1.4142135623731
"20062",8,"NO",9,0,1,61,0,5,5.66666666666667,9,5,12,9,10,10,10,10,2.82842712474619,2.12132034355964
"20063",8,"NO",8,0,1,47,0,2,6.66666666666667,7,4,6,8,9,9,9,10,0,0
"20064",6,"NO",9,0,1,67,0,5,7.66666666666667,6,5,11,8,10,10,10,10,2.82842712474619,2.82842712474619
"20065",8,"NO",5,0,1,51,0,6,4.66666666666667,7,3,10,9,9,9,9,8,2.82842712474619,2.82842712474619
"20066",9,"NO",10,0,1,19,0,7,8.33333333333333,7,1,12,10,9,10,9,8,0,0
"20067",10,"NO",10,1,1,24,0,10,2.33333333333333,5,5,4,10,10,10,10,10,0,0.707106781186548
"20068",9,"NO",8,1,2,34,0,3,8.33333333333333,3,2,19,9,9,10,10,9,3.53553390593274,1.4142135623731
"20069",8,"NO",8,0,2,80,0,9,7.66666666666667,5,3,19,9,10,10,10,10,1.4142135623731,2.12132034355964
"20070",7,"NO",8,1,1,68,0,3,6,7,5,17,8,10,10,10,9,3.53553390593274,0.707106781186548
"20071",9,"NO",8,0,2,18,0,1,5.33333333333333,7,10,12,6,7,10,10,9,0.707106781186548,1.4142135623731
"20072",7,"NO",8,0,1,39,0,1,7.33333333333333,7,9,4,9,9,10,9,9,4.24264068711928,0
"20073",9,"NO",9,0,2,73,0,8,8.66666666666667,4,8,17,10,10,10,10,9,1.4142135623731,0
"20074",9,"NO",8,0,1,46,0,8,5.66666666666667,7,6,16,10,10,10,10,10,0.707106781186548,0.707106781186548
"20075",9,"NO",7,0,1,30,0,4,7.33333333333333,8,8,13,6,9,10,10,7,0.707106781186548,0.707106781186548
"20076",7,"NO",9,0,2,53,0,5,5.66666666666667,8,9,14,8,10,10,10,9,0,0
"20077",6,"NO",10,1,1,36,0,8,10,4,5,14,9,10,10,10,10,2.82842712474619,3.53553390593274
"20078",8,"NO",6,1,1,66,0,2,6.33333333333333,1,4,1,5,10,10,10,10,5.65685424949238,3.53553390593274
"20079",8,"NO",9,1,2,54,0,7,7.66666666666667,4,10,18,9,9,10,10,10,1.4142135623731,0.707106781186548
"20080",8,"NO",9,1,2,95,0,8,8,8,7,7,7,10,10,10,8,2.82842712474619,0
"20081",6,"NO",7,1,2,59,0,6,8,4,1,11,10,9,10,8,9,3.53553390593274,2.82842712474619
"20082",10,"NO",8,1,1,51,0,2,8.66666666666667,5,7,13,10,10,10,10,10,0,0
"20083",8,"NO",8,0,1,23,0,7,7,6,3,13,9,10,10,10,10,2.12132034355964,0.707106781186548
"20084",5,"NO",9,0,1,67,0,3,4,6,4,11,6,8,10,10,10,2.82842712474619,0
"20085",4,"NO",8,0,1,25,0,3,4,8,6,13,10,8,10,9,9,1.4142135623731,0
"20086",7,"NO",7,0,2,16,0,4,6,5,6,10,10,5,10,7,10,2.82842712474619,1.4142135623731
"20087",9,"NO",8,0,2,61,0,5,9.33333333333333,5,3,11,10,10,10,10,10,0.707106781186548,0.707106781186548
"20088",4,"NO",5,1,1,79,0,6,8.33333333333333,6,5,7,8,10,10,10,8,0,0.707106781186548
"20089",8,"NO",10,0,1,51,0,5,4.66666666666667,7,10,14,10,10,10,10,10,0,0
"20090",8,"NO",10,0,2,36,0,7,7.66666666666667,8,10,17,8,10,10,10,10,4.24264068711928,1.4142135623731
"20091",8,"NO",8,0,2,40,0,7,5.33333333333333,7,4,13,10,10,10,9,10,0,0
"20092",9,"NO",10,1,2,54,0,9,6,5,3,12,7,10,10,10,10,4.24264068711928,4.94974746830583
"20093",7,"NO",8,0,2,37,0,4,6.33333333333333,10,7,13,9,9,9,9,9,1.4142135623731,0
"20094",8,"NO",10,0,1,63,0,4,4.33333333333333,9,5,8,10,10,10,10,10,0,0
"20095",5,"NO",8,0,1,29,0,2,6.66666666666667,8,6,12,8,10,9,9,7,0.707106781186548,0.707106781186548
"20096",8,"NO",8,0,2,64,0,2,8.33333333333333,3,4,9,5,10,10,6,9,2.82842712474619,2.82842712474619
"20097",9,"NO",9,0,1,56,0,5,6.33333333333333,7,3,14,9,8,9,8,7,0.707106781186548,0
"20098",8,"NO",9,0,2,57,0,7,5.33333333333333,8,10,7,7,10,9,9,10,2.12132034355964,1.4142135623731
"20099",6,"NO",9,0,1,27,0,2,3.33333333333333,8,5,11,7,8,9,8,8,2.82842712474619,0
"20100",8,"NO",10,1,2,50,0,5,8.66666666666667,3,5,2,9,10,10,10,10,1.4142135623731,1.4142135623731
"20101",7,"NO",9,1,1,40,0,1,6.66666666666667,6,8,13,8,9,10,10,10,1.4142135623731,0
"20102",5,"NO",6,0,2,17,0,1,3.66666666666667,8,9,12,5,5,5,10,10,0.707106781186548,0.707106781186548
"20103",7,"NO",8,0,1,38,0,5,6.33333333333333,7,4,18,7,10,10,9,8,2.82842712474619,2.82842712474619
"20104",9,"NO",9,1,1,66,0,5,7.66666666666667,6,7,12,9,10,10,10,8,1.4142135623731,0
"20105",10,"NO",8,0,1,72,0,3,9,5,2,15,10,10,10,10,9,1.4142135623731,0.707106781186548
"20106",8,"NO",8,1,2,16,0,2,8,5,3,10,10,10,10,10,10,0,1.4142135623731
"20107",8,"NO",9,0,1,40,0,2,8.33333333333333,7,10,13,8,8,9,8,8,2.82842712474619,1.4142135623731
"20108",8,"NO",9,0,2,18,0,5,6,7,10,12,2,10,10,10,10,0.707106781186548,3.53553390593274
"20109",8,"NO",5,0,2,53,0,5,8,5,10,4,6,10,10,10,10,2.82842712474619,1.4142135623731
"20110",4,"NO",5,0,2,78,0,5,4.33333333333333,4,2,7,3,7,10,10,10,4.94974746830583,4.24264068711928
"20111",7,"NO",9,0,1,52,0,6,6.66666666666667,7,7,4,8,9,10,10,8,3.53553390593274,3.53553390593274
"20112",9,"NO",8,1,2,29,0,2,8.33333333333333,4,5,19,9,10,10,10,9,0.707106781186548,0.707106781186548
"20113",8,"NO",7,0,2,47,0,4,7.66666666666667,6,2,17,10,10,10,10,10,0,0.707106781186548
"20114",7,"NO",7,0,2,57,0,9,7.66666666666667,6,2,8,8,5,9,7,9,0.707106781186548,0
"20115",5,"NO",8,0,1,39,0,1,8.33333333333333,5,6,12,8,9,10,9,10,3.53553390593274,0.707106781186548
"20116",2,"NO",5,0,1,44,0,5,5.66666666666667,9,6,8,8,9,10,10,10,6.36396103067893,2.82842712474619
"20117",8,"NO",8,0,1,61,0,3,5,5,1,1,8,8,10,10,10,2.82842712474619,3.53553390593274
"20118",6,"NO",8,0,2,26,0,3,6.33333333333333,8,8,13,6,6,7,9,10,2.12132034355964,2.12132034355964
"20119",8,"NO",10,1,1,38,0,5,4.33333333333333,5,4,18,10,10,10,10,9,0.707106781186548,0
"20120",10,"NO",10,0,1,65,0,5,9,5,1,10,7,10,10,10,10,2.12132034355964,4.94974746830583
"20121",8,"NO",7,0,2,66,0,2,4.66666666666667,5,5,7,8,8,10,10,10,5.65685424949238,4.94974746830583
"20122",8,"NO",8,0,2,52,0,5,6,8,2,14,7,9,9,10,8,0,0
